no,tag,title,original price,discount,available month,available date,available day,summary," seller"," date"," condition"," note",,,,,
21,dryer1,Hair dryer I,$11,$4.9,11,8,Friday,1875W mid-size hair dryer,"Amazon","July 2023","Normal",,,,,,
22,dryer2,Hair dryer II,$24.9,$9.9,9,1,Sunday,Light and fast hair dryer,"Amazon","April 2022","Normal","1875W stunning blowouts",,,,,
23,dish,Dish drying rack,$21.9,$6.9,11,1,Friday,Multipurpose drying rack for kitchen,"Amazon","May 2023","Normal","2 tier large capacity",,,,,
24,clock,Wall clock,$11.5,$2.9,9,1,Sunday,Modern wall clocks battery operated,"Amazon","May 2023","Execellent",,,,,,
25,curtain,Blackout curtain,$49.9,$14.9,9,1,Sunday,Blackout linen curtains,"Amazon","May 2023","Good","2 panels set",W50 X L84,The length of curtain rods is adjustable,,,
26,router,Wi-Fi router,$99.2,$19.9,11,8,Friday,NETGEAR cable modem Wi-Fi router combo C6250,"Amazon","Apirl 2023","Good","Cable plans up to 300Mbps",AC1600 Wi-Fi speed,,,,
27,bowl,Mixing bowl,$28.7,Free,9,1,Sunday,Large stainless steel mixing bowl,"Amazon","January 2023","Good","40 liters capacity",Diameter 55 cm,,,,
28,hamper,Laundry hamper,$33.1,$7.9,11,8,Friday,Rolling laundry hamper with built-in handle,"Amazon","January 2023","Good","Smooth gliding wheels",Ventilated design,,,,
29,brita,Brita dispenser,$41.9,$9.9,11,1,Friday,Water filter dispenser for tap and drinking water,"Amazon","January 2023","Good","No filters provided",,,,,
30,sidetable,Round side table,$39.9,$8.9,9,1,Sunday,Round end/side tables for living room,"Amazon","January 2024","Good","Gold color",,,,,
31,warmer,Candle lamp,$26.9,$11.9,9,1,Sunday,Candle warmer lamp with timer,"Amazon","January 2024","Execellent","Height adjustable",Timer,,,,
32,coffee,Coffee maker,$20.9,$4.9,9,1,Sunday,5-cup mini brew switch coffee maker,"Amazon","April 2022","Normal","Comes with ground coffee and a filter",,,,,
33,outlet,Charging station,$16.9,$8.9,11,8,Friday,"Power strip with USB C, USB, outlets","Amazon","April 2022","Good","5ft long extension cord",,,,,
34,stool,Stool,$38.56,$9.9,9,1,Sunday,Velvet round modern dressing stool,"Amazon","April 2022","Good",,,,,,
35,cooker,Rice cooker,$92.4,$14.9,11,8,Friday,6-cup rice cooker with nonstick inner pot,"Amazon","April 2022","Normal","Korean product",,,,,
36,speaker,Bluetooth speaker,$10,Free,9,1,Sunday,Small cute bluetooth speaker,"Secondhand","July 2023","Normal",,,,,,
37,pickle,Pickleball set,$20,$3.9,9,1,Sunday,Corona edition pickleball paddles set for two,"Secondhand","January 2024","Execellent","Two paddles and two balls",,,,,
38,shelf,Storage shelves,$10,Free,9,1,Sunday,4 tier multipurpose storage shelves,"Secondhand","January 2024","Normal",,,,,,
